permitnumber,year,permitvalidfrom,permitvalidto,loaddescription,state,origin,destination,route_location_origin,authorizedhighways,route_location_1,route_location_2,route_location_3,route_location_4,route_location_5,route_location_6,route_location_7,route_location_8,route_location_9,route_location_10,route_location_11,route_location_12,route_location_13,route_location_14,route_location_15,route_location_16,route_location_17,route_location_18,route_location_19,route_location_20,route_location_21,route_location_22,route_location_23,route_location_24
e22-115076,2023,01/02/2023,01/08/2023,113' CONCRETE PILE,California,Antioch,San Pedro,"wilbur ave Antioch, California",* from wilbur ave e/b on ramp - 160s - 4w - 242s - 680s - 580e - 5s - to templin highway exit (templin highway w/b off ramp exit 183) - detour via ramps-  from templin highway e/b on ramp - 5s - 405s - 110s - 47n - to navy way exit (navy way) *,SR-160,SR-4,SR-242,I-680,I-580,I-5,templin highway,detour via ramps,templin highway,I-5,I-405,SR-110,SR-47,navy way,None,None,None,None,None,None,None,None,None,None
e22-114880,2023,01/01/2023,01/07/2023,JAW CRUSHER,California,Mojave,Bakersfield,"silver queen rd Mojave, California",* from silver queen rd w/b on ramp - 14n - 58w - 99n - 58w - to gibson st exit (gibson st) *,SR-14,SR-58,SR-99,SR-58,gibson st,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e22-114918,2023,01/01/2023,01/07/2023,BUILDING FACADE,California,Az Line,Irvine,"az line Az Line, California",* from az line 8 - 008w - 111n - 078w - 086n - 010w - 060w - 215n - 091w - 055s - 073s - to jamboree rd exit (jamboree rd e/b off ramp exit number 15) *,I-8,SR-111,SR-78,SR-86,I-10,SR-60,I-215,SR-91,SR-55,SR-73,jamboree rd,None,None,None,None,None,None,None,None,None,None,None,None,None
e22-114776,2023,01/01/2023,01/07/2023,CAT 730 DUMP TRUCK,California,Port Heneme,Nv State Line,"vineyard ave Port Heneme, California",* from vineyard ave e/b on ramp - 101s - 134e - 210e - 015n - to nv line 15 exit *,US-101,SR-134,SR-210,I-15,nv line,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000191,2023,01/04/2023,01/10/2023,EMPTY CRATE FOR SOLAR PANELS,California,San Jose,Watsonville,"oakland rd San Jose, California",* from oakland rd e/b on ramp - 101s - 156w - 183n - 001n - to green valley rd exit (green valley rd e/b off ramp) *,US-101,SR-156,SR-183,SR-1,green valley rd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e22-114757,2023,01/01/2023,01/07/2023,JD FIELD CULTIVATOR 2230,California,Nv Line,1505 Bolsa Road Gilroy Ca,"nv line Nv Line, California",* from nv line 80 - 080w - 680s - 101s - 025s - to bolsa rd exit (bolsa rd) *,I-80,I-680,US-101,SR-25,bolsa rd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e22-114824,2023,01/01/2023,01/07/2023,PA550HW DC SYSTEM,California,Az Line 40,San Jose,"az line Az Line 40, California",* from az line 40 - 40w - 15s - 58w - 99n - 46w - 5n - 152w - 156w - 25n - 101n - 880n - to gish rd e/b off ramp exit 4d *,I-40,I-15,SR-58,SR-99,SR-46,I-5,SR-152,SR-156,SR-25,US-101,I-880,gish rd,None,None,None,None,None,None,None,None,None,None,None,None
e22-114816,2023,01/01/2023,01/07/2023,CYLINDER STRUCTURE,California,Pomona,Rancho Cucamonga,"dudley st Pomona, California",* from dudley st n/b on ramp - 10e - to haven ave n/b off ramp exit *,I-10,haven ave,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-048753,2023,06/09/2023,06/15/2023,TRACK CRUSHER W/ATTACHMENTS,California,Otay Mesa,Perris,"enrico fermi dr Otay Mesa, California",* from enrico fermi dr n/b on ramp - 11w - 905w - 805n - 5n - 76e - 15n - 215n - 74e - to watson rd *,SR-11,SR-905,I-805,I-5,SR-76,I-15,I-215,SR-74,watson rd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e22-115030,2023,01/01/2023,01/07/2023,Belt Press,California,Byron,Porterville,"mountain house pkwy Byron, California",* from mountain house pkwy s/b on ramp - 205e - 5n - 120e - 99s - 137e - 65s - to henderson ave w/b off ramp exit # 45 *,I-205,I-5,SR-120,SR-99,SR-137,SR-65,henderson ave,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e22-115025,2023,01/01/2023,01/07/2023,Cat 836 Compactor,California,Pittsburg,Livermore,"bailey rd Pittsburg, California",* from bailey rd n/b on ramp - 4e - to vasco rd exit *,SR-4,vasco rd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e22-115038,2023,01/01/2023,01/07/2023,DRILL RIG - UNIT 211,California,Bakersfield,Bakersfield,"rosedale hwy Bakersfield, California",* from rosedale hwy/sidding rd - 43s - 5s - 166w - to old river rd exit *,SR-43,I-5,SR-166,old river rd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e22-115037,2023,01/01/2023,01/07/2023,HPU - UNIT 212,California,Bakersfield,Bakersfield,"rosedale hwy Bakersfield, California",* from rosedale hwy/sidding rd - 43s - 5s - 166w - to old river rd exit *,SR-43,I-5,SR-166,old river rd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e22-115036,2023,01/01/2023,01/07/2023,PIPE TUB 1 - UNIT 213,California,Bakersfield,Bakersfield,"rosedale hwy Bakersfield, California",* from rosedale hwy/sidding rd - 43s - 5s - 166w - to old river rd exit *,SR-43,I-5,SR-166,old river rd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e22-115035,2023,01/01/2023,01/07/2023,PIPE TUB 2 - UNIT 214,California,Bakersfield,Bakersfield,"rosedale hwy Bakersfield, California",* from rosedale hwy/sidding rd - 43s - 5s - 166w - to old river rd exit *,SR-43,I-5,SR-166,old river rd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e22-115043,2023,01/01/2023,01/07/2023,SHAKER TANK / MUD PIT 1 - UNIT 215,California,Bakersfield,Bakersfield,"rosedale hwy Bakersfield, California",* from rosedale hwy/sidding rd - 43s - 5s - 166w - to old river rd exit *,SR-43,I-5,SR-166,old river rd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e22-115042,2023,01/01/2023,01/07/2023,SUCTION TANK / MUD PIT 2 - UNIT 216,California,Bakersfield,Bakersfield,"rosedale hwy Bakersfield, California",* from rosedale hwy/sidding rd - 43s - 5s - 166w - to old river rd exit *,SR-43,I-5,SR-166,old river rd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e22-115041,2023,01/01/2023,01/07/2023,RESERVE TANK / MUD PIT 3 - UNIT 217,California,Bakersfield,Bakersfield,"rosedale hwy Bakersfield, California",* from rosedale hwy/sidding rd - 43s - 5s - 166w - to old river rd exit (old river rd) *,SR-43,I-5,SR-166,old river rd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e22-115050,2023,01/01/2023,01/07/2023,MUP PUMP 1 - UNIT 219,California,Bakersfield,Bakersfield,"rosedale hwy Bakersfield, California",* from rosedale hwy/sidding rd - 43s - 5s - 166w - to old river rd exit *,SR-43,I-5,SR-166,old river rd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e22-115049,2023,01/01/2023,01/07/2023,MUP PUMP 2 - UNIT 220,California,Bakersfield,Bakersfield,"rosedale hwy Bakersfield, California",* from rosedale hwy/sidding rd - 43s - 5s - 166w - to old river rd exit (old river rd) *,SR-43,I-5,SR-166,old river rd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e22-115048,2023,01/01/2023,01/07/2023,GENERATOR 1 - UNIT 221,California,Bakersfield,Bakersfield,"rosedale hwy Bakersfield, California",* from rosedale hwy/sidding rd - 43s - 5s - 166w - to old river rd exit *,SR-43,I-5,SR-166,old river rd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e22-115047,2023,01/01/2023,01/07/2023,GENERATOR 2 - UNIT 222,California,Bakersfield,Bakersfield,"rosedale hwy Bakersfield, California",* from rosedale hwy/sidding rd - 43s - 5s - 166w - to old river rd exit *,SR-43,I-5,SR-166,old river rd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e22-115055,2023,01/01/2023,01/07/2023,GENERATOR 3 - UNIT 223,California,Bakersfield,Bakersfield,"rosedale hwy Bakersfield, California",* from rosedale hwy/sidding rd - 43s - 005s - 166w - to old river rd exit (old river rd) *,SR-43,I-5,SR-166,old river rd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e22-115054,2023,01/01/2023,01/07/2023,CHANGE HOUSE - UNIT 224,California,Bakersfield,Bakersfield,"rosedale hwy Bakersfield, California",* from rosedale hwy/sidding rd - 43s - 5s - 166w - to old river rd exit *,SR-43,I-5,SR-166,old river rd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e22-115053,2023,01/01/2023,01/07/2023,TOOL HOUSE - UNIT 225,California,Bakersfield,Bakersfield,"rosedale hwy Bakersfield, California",* from rosedale hwy/sidding rd - 43s - 5s - 166w - to old river rd exit *,SR-43,I-5,SR-166,old river rd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e22-115052,2023,01/01/2023,01/07/2023,LIFT KING LOADER,California,Bakersfield,Bakersfield,"rosedale hwy Bakersfield, California",* from rosedale hwy/sidding rd - 43s - 5s - 166w - to old river rd exit *,SR-43,I-5,SR-166,old river rd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e22-115063,2023,01/01/2023,01/07/2023,MUD PUMP - UNIT 27,California,Bakersfield,Famoso,"merle haggard dr Bakersfield, California",* 7th standard over hwy 99 * from merle haggard dr - 65n - to famoso/woody rd (south jct) exit *,SR-65,famoso/woody rd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e22-115062,2023,01/01/2023,01/07/2023,1/ SHAKER TANK - UNIT 28,California,Bakersfield,Famoso,"merle haggard dr Bakersfield, California",* 7th standard over hwy 99 * from merle haggard dr - 65n - to famoso/woody rd (south jct) exit *,SR-65,famoso/woody rd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e22-115061,2023,01/01/2023,01/07/2023,DRILL RIG WITH MAST - UNIT 29,California,Bakersfield,Famoso,"merle haggard dr Bakersfield, California",* 7th standard over hwy 99 * from merle haggard dr - 65n - to famoso/woody rd (south jct) exit *,SR-65,famoso/woody rd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e22-115060,2023,01/01/2023,01/07/2023,CATWALK - UNIT 30,California,Bakersfield,Famoso,"merle haggard dr Bakersfield, California",* 7th standard over hwy 99 * from merle haggard dr - 65n - to famoso/woody rd (south jct) exit *,SR-65,famoso/woody rd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e22-115059,2023,01/01/2023,01/07/2023,1/DOG HOUSE - UNIT 88,California,Bakersfield,Mcfarland,"merle haggard dr Bakersfield, California",* 7th standard over hwy 99 * from merle haggard dr - 65n - to famoso/woody rd (south jct) exit *,SR-65,famoso/woody rd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e22-114758,2023,01/01/2023,01/07/2023,FIBERGLASS POOLS (3) NESTED,California,Williams,Nv Line,"husted rd Williams, California",* from husted rd w/b on ramp - 005s - 080e - to nv line 80 exit *,I-5,I-80,nv line,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e22-114763,2023,01/01/2023,01/07/2023,CRATED MACHINE CENTER (TO PROTECT COMPONENTS),California,Terminal Island,Compton,"navy way Terminal Island, California",* from navy way - 047s - 110n - to john s gibson blvd exit (john s gibson blvd e/b off ramp exit number 1b) ** - channel st & r/r oh uc under rte 110 - ** - vermont ave. across rte 1 - ** - carson st. oc over rte 110 - ** - del amo bl. oc over rte 405 - ** - wilmington ave. oc over rte 91 - *,SR-47,SR-110,john s gibson blvd,channel st,**,vermont ave,**,carson st,**,del amo bl. oc over rte 405,**,wilmington ave,None,None,None,None,None,None,None,None,None,None,None,None
e22-114723,2023,01/01/2023,01/07/2023,390 CAT EXCAVATOR W/BUCKET REMOVED AND RELOADED,California,Livermore,Ca/Nv Border,"vasco rd Livermore, California",* from vasco rd n/b on ramp - 580e - 005s - 058e - to tracy ave exit (tracy ave) ** from blue star memorial hwy - 043s - to rosedale hwy/sidding rd exit (rosedale hwy/sidding rd) ** from mohawk st - 058e - 099s - 058e - 015n - to nv line 15 exit *,I-580,I-5,SR-58,tracy ave,SR-43,rosedale hwy,SR-58,SR-99,SR-58,I-15,nv line,None,None,None,None,None,None,None,None,None,None,None,None,None
e22-114780,2023,01/01/2023,01/07/2023,MVAC VESSEL,California,Arizona - 8,Hawthorne,"az line Arizona - 8, California",* from az line 8 - 8w - 5n - 405n - 710n - 105w - to crenshaw blvd exit (crenshaw blvd s/b off ramp exit 5) *,I-8,I-5,I-405,I-710,I-105,crenshaw blvd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e22-114785,2023,01/01/2023,01/07/2023,EDISON REEL TRUCK,California,Rialto,Arizona S/L & I-10,"pepper ave Rialto, California",* from pepper ave s/b on ramp - 010e - to az line 10 exit *,I-10,az line,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e22-114783,2023,01/01/2023,01/07/2023,EDISON REEL TRUCK,California,Rialto,Arizona S/L & I-10,"pepper ave Rialto, California",* from pepper ave s/b on ramp - 010e - to az line 10 exit *,I-10,az line,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e22-114792,2023,01/01/2023,01/07/2023,EMPTY TANK METAL,California,Livingston,Red Bluff,"liberty dr Livingston, California",* from liberty dr w/b on ramp - 099n - 120w - 005n - to adobe rd exit (adobe rd w/b off ramp exit number 650) * from adobe rd - 036w - to baker rd exit (baker rd) *,SR-99,SR-120,I-5,adobe rd,SR-36,baker rd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e22-114796,2023,01/01/2023,01/07/2023,WHEEL LOADER,California,Az Line,San Diego,"az line Az Line, California",* from az line 62 - 062w - 095n - 040w - 015s - 060e - 215s - 015s - to rancho bernardo rd exit (rancho bernardo rd w/b off ramp exit number 24) *,SR-62,US-95,I-40,I-15,SR-60,I-215,I-15,rancho bernardo rd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e22-114797,2023,01/01/2023,01/07/2023,UNLADEN OVERSIZED TRAILER,California,San Diego,Nv Line,"rancho bernardo rd San Diego, California",* from rancho bernardo rd e/b on ramp - 015n - to nv line 15 exit *,I-15,nv line,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e22-114764,2023,01/01/2023,01/07/2023,UNLADEN,California,"30750 Manning Ave, Cantua Creek, Ca",Arizona State Line I-40,"manning ave 30750 Manning Ave, Cantua Creek, Ca, California",* from manning ave - 033s - 005s - 046e - 099s - 058e - 015n - 040e - to az line 40 exit *,SR-33,I-5,SR-46,SR-99,SR-58,I-15,I-40,az line,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000158,2023,01/05/2023,01/11/2023,EMPTY TANK,California,Bakersfield,Pixley,"fairfax rd Bakersfield, California",* from fairfax rd s/b on ramp - 058w - 099n - 058w - to mohawk st exit (mohawk st) * 7th standard rd oc over 99 * from merle haggard dr - 065n - to ave 56/co rd j-22 exit (ave 56/co rd j-22-ducor) *,SR-58,SR-99,SR-58,mohawk st,SR-65,ave,SR-22,SR-22,ducor),None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e22-114794,2023,01/01/2023,01/07/2023,CONVEYOR,California,Red Bluff,Or Line Hwy 5,"south main st Red Bluff, California",* from south main st e/b on ramp - 005n - to or line 5 exit *,I-5,or line,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e22-114809,2023,01/01/2023,01/07/2023,EMPTY RETENTION TANK,California,Stockton,Crockett,"navy dr Stockton, California",* from navy dr/stockton st - 004e - 005s - 205w - 580w - 680n - 004w - 080e - to cummings skyway exit (cummings skyway n/b off ramp) *,SR-4,I-5,I-205,I-580,I-680,SR-4,I-80,cummings skyway,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e22-114811,2023,01/01/2023,01/07/2023,HARVESTER,California,Newman,Tulare,"stuhr rd Newman, California",* from stuhr rd w/b on ramp - 005s - 198e - to stratford exit (avenal cutoff s/b off ramp) ** from jackson ave - 041s - to kansas ave exit (kansas ave) * kansas ave across 43 *  rd 68/co rd j25 across 137 *,I-5,SR-198,stratford,SR-41,kansas ave,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e22-114996,2023,01/01/2023,01/07/2023,JEEP DECKED,California,Sacramento,Arizona State Line,"winters st Sacramento, California",* from winters st s/b on ramp - 080w - 005s - 210e - 015s - 010e - to az line 10 exit *,I-80,I-5,SR-210,I-15,I-10,az line,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e22-114808,2023,01/01/2023,01/07/2023,EMPTY RETENTION TANK,California,Stockton,Crockett,"navy dr Stockton, California",* from navy dr/stockton st - 004e - 005s - 205w - 580w - 680n - 004w - 080e - to cummings skyway exit (cummings skyway n/b off ramp) *,SR-4,I-5,I-205,I-580,I-680,SR-4,I-80,cummings skyway,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
