permitnumber,year,permitvalidfrom,permitvalidto,loaddescription,state,origin,destination,authorizedhighways,route_location_origin,route_intersection_0,route_intersection_1,route_intersection_2,route_intersection_3,route_intersection_4,route_intersection_5,route_intersection_6,route_intersection_7,route_intersection_8,route_intersection_9,route_intersection_10,route_intersection_11,route_intersection_12,route_intersection_13,route_intersection_14,route_intersection_15,route_intersection_16,route_intersection_17,route_intersection_18,route_intersection_19,route_intersection_20,route_intersection_21,route_intersection_22,route_intersection_23,route_intersection_destination
e22-114858,2023,01/01/2023,01/07/2023,MOBILE OFFICE,California,Az Line I-40,Ceres,* from az line 40 - 040w - 015s - 058w - 099n - 058w - to mohawk st exit (mohawk st) ** from rosedale hwy/sidding rd - 043n - to buttonwillow/mckittrick exit (blue star memorial hwy) ** from tracy ave on ramp - 005n - 132e - to carpenter rd exit (carpenter rd) *,"az line Az Line I-40, California",az line and I-40,I-40 and I-15,I-15 and SR-58,SR-58 and SR-99,SR-99 and SR-58,SR-58 and mohawk st  (mohawk st) ** from rosedale hwy/sidding rd,mohawk st  (mohawk st) ** from rosedale hwy/sidding rd and SR-43,SR-43 and buttonwillow/mckittrick  (blue star memorial hwy) ** from tracy ave on ramp,buttonwillow/mckittrick  (blue star memorial hwy) ** from tracy ave on ramp and I-5,I-5 and SR-132,SR-132 and carpenter rd  (carpenter rd),,,,,,,,,,,,,,SR-132 and carpenter rd Ceres
e22-114921,2023,01/01/2023,01/07/2023,45T CRANE,California,Fresno,San Luis Obispo,* from jensen ave w/b on ramp - 041s - 046w - 101s - to los osos valley rd exit (los osos valley rd e/b off ramp exit number 200) ** from farmhouse ln - 227s - to crestmont dr exit (crestmont dr) *,"jensen ave Fresno, California",jensen ave and SR-41,SR-41 and SR-46,SR-46 and US-101,US-101 and los osos valley rd  (los osos valley rd e/b off ramp  number 200) ** from farmhouse ln,los osos valley rd  (los osos valley rd e/b off ramp  number 200) ** from farmhouse ln and SR-227,SR-227 and crestmont dr  (crestmont dr),,,,,,,,,,,,,,,,,,,SR-227 and crestmont dr San Luis Obispo
e22-114919,2023,01/01/2023,01/07/2023,TEREX C-1540P CONE CRUSHER,California,Concord,Rancho Cordova,* from railroad ave n/b on ramp - 004w - 680n - 080e - 050e - to sunrise blvd/fair oaks exit (sunrise blvd s/b off ramp exit number 18) *,"railroad ave Concord, California",railroad ave and SR-4,SR-4 and I-680,I-680 and I-80,I-80 and US-50,US-50 and sunrise blvd/fair oaks  (sunrise blvd s/b off ramp  number 18),,,,,,,,,,,,,,,,,,,,US-50 and sunrise blvdfair oaks Rancho Cordova
e23-000014,2023,01/02/2023,01/08/2023,LINKBELT RTC 8090 CRANE,California,Wilmington,Long Beach,* from e 223rd st e/b on ramp - 405s - to spring st exit (spring st w/b off ramp exit number 29a) *,"e 223rd st Wilmington, California",e 223rd st and I-405,I-405 and spring st  (spring st w/b off ramp  number 29a),,,,,,,,,,,,,,,,,,,,,,,I-405 and spring st Long Beach
e22-115161,2023,01/02/2023,01/08/2023,Center Fuselage,California,"3250 E Ave M, Palmdale, Ca 93550",Az Line 40,* from ave `m` w/b on ramp - 014n - to business 58 east exit (mojave-barstow hwy (south jct)) ** from mojave-barstow hwy(e jct) n/b on ram - 058e - 015n - 040e - to az line 40 exit *,"ave 3250 E Ave M, Palmdale, Ca 93550, California",ave and SR-14,SR-14 and business 58 east  (mojave,business 58 east  (mojave and barstow hwy (south jct)) ** from mojave,barstow hwy (south jct)) ** from mojave and barstow hwy(e jct) n/b on ram,barstow hwy(e jct) n/b on ram and SR-58,SR-58 and I-15,I-15 and I-40,I-40 and az line 40,,,,,,,,,,,,,,,,,I-40 and az line 40 Az Line 40
e23-002798,2023,01/15/2023,01/21/2023,LIGHT RAIL VEHICLE (ALSTOM METRO),California,Lawndale,Mare Island,* from rosecrans ave - 1n to imperial hwy * from imperial hwy n/b onramp - 105e - 605n - 10e - 57n - 210e - 15n - 395n - 58w to fairfax rd s/b offramp * from fairfax rd - 223w - 5n - 580w - 680n - 242n - 4w - 680n - 80w - 37w to mare island exit (walnut ave s/b offramp exit # 17) *,"rosecrans ave Lawndale, California",rosecrans ave and SR-1,SR-1 and I-105,I-105 and I-605,I-605 and I-10,I-10 and SR-57,SR-57 and SR-210,SR-210 and I-15,I-15 and US-395,US-395 and SR-58,SR-58 and SR-223,SR-223 and I-5,I-5 and I-580,I-580 and I-680,I-680 and SR-242,SR-242 and SR-4,SR-4 and I-680,I-680 and I-80,I-80 and SR-37,,,,,,,I-80 and SR-37 Mare Island
e22-114754,2023,01/01/2023,01/07/2023,2 Tractors End to End Make: CAT Model: 305CR; D1 SN: 5G502071; XKL04246,California,Az Line,"955 Marina Blvd, San Leandro, Ca, 94577",* from az line 40 - 040w - 015s - 058w - 099n - 046w - 005n - 580w - 238n - 880n - to marina blvd exit (marina blvd e/b off ramp exit number 33a) *,"az line Az Line, California",az line and I-40,I-40 and I-15,I-15 and SR-58,SR-58 and SR-99,SR-99 and SR-46,SR-46 and I-5,I-5 and I-580,I-580 and SR-238,SR-238 and I-880,I-880 and marina blvd  (marina blvd e/b off ramp  number 33a),,,,,,,,,,,,,,,"I-880 and marina blvd 955 Marina Blvd, San Leandro, Ca, 94577"
e22-114857,2023,01/01/2023,01/07/2023,MODULAR BUILDING,California,Manteca    (787 Spreckles Ave),Corcoran   (1300 Letts Ave),* from yosemite ave e/b on ramp - 099s - 120w - 005s - 198e - to stratford exit (avenal cutoff s/b off ramp) * from jackson ave - 041s - to kansas ave exit (kansas ave) * from kansas ave - 043s - to whitley ave exit (whitley ave) *,"yosemite ave Manteca    (787 Spreckles Ave), California",yosemite ave and SR-99,SR-99 and SR-120,SR-120 and I-5,I-5 and SR-198,SR-198 and stratford  (avenal cutoff s/b off ramp) * from jackson ave,stratford  (avenal cutoff s/b off ramp) * from jackson ave and SR-41,SR-41 and kansas ave  (kansas ave) * from kansas ave,kansas ave  (kansas ave) * from kansas ave and SR-43,SR-43 and whitley ave  (whitley ave),,,,,,,,,,,,,,,,SR-43 and whitley ave Corcoran 
e22-114790,2023,01/01/2023,01/07/2023,FIXTURE FOR EMPTY F-19 2ND STAGE ROCKET - non hazmat,California,I-8 & Arizona S/L,Hawthorne,* from az line 8 - 008w - 111n - 078w - 086n - 010w - 215n - 210w - 605s - 105w - to crenshaw blvd exit (crenshaw blvd s/b off ramp exit number 5) *,"az line I-8 & Arizona S/L, California",az line and I-8,I-8 and SR-111,SR-111 and SR-78,SR-78 and SR-86,SR-86 and I-10,I-10 and I-215,I-215 and SR-210,SR-210 and I-605,I-605 and I-105,I-105 and crenshaw blvd  (crenshaw blvd s/b off ramp  number 5),,,,,,,,,,,,,,,I-105 and crenshaw blvd Hawthorne
e23-029274,2023,04/11/2023,04/17/2023,CAT 637 SCRAPER,California,Carlsbad,Irwindale,* from poinsettia ln w/b on ramp - 005n - to las pulgas rd exit (las pulgas rd e/b off ramp exit number 62) -detour via ramp- from las pulgas rd w/b on ramp - 005n - to state college blvd exit (state college blvd w/b off ramp exit number 107c) - from state college blvd w/b on ramp - 005s - 022w - 405n - 605n - to lower azusa rd exit (lower azusa rd e/b off ramp) *,"poinsettia ln Carlsbad, California",poinsettia ln and I-5,I-5 and las pulgas rd  (las pulgas rd e/b off ramp  number 62),las pulgas rd  (las pulgas rd e/b off ramp  number 62) and detour via ramp,detour via ramp and las pulgas rd w/b on ramp,las pulgas rd w/b on ramp and I-5,I-5 and state college blvd  (state college blvd w/b off ramp  number 107c),state college blvd  (state college blvd w/b off ramp  number 107c) and state college blvd w/b on ramp,state college blvd w/b on ramp and I-5,I-5 and SR-22,SR-22 and I-405,I-405 and I-605,I-605 and lower azusa rd  (lower azusa rd e/b off ramp),,,,,,,,,,,,,I-605 and lower azusa rd Irwindale
e23-001739,2023,01/12/2023,01/18/2023,(1) EMPTY WATER TANK,California,Hanford,Fort Bragg,* from 11th ave n/b on ramp - 198w - 5n - 580w - 680n - 780w - 80e - 37w - 101n - 175e to east side rd(east jct) / old river rd exit (east side rd(east jct)) * from sanford ranch rd/old river rd - 222w - 101n - 020w - 1n to mill creek dr exit *,"11th ave Hanford, California",11th ave and SR-198,SR-198 and I-5,I-5 and I-580,I-580 and I-680,I-680 and SR-780,SR-780 and I-80,I-80 and SR-37,SR-37 and US-101,US-101 and SR-175,SR-175 and SR-222,SR-222 and US-101,US-101 and SR-20,SR-20 and SR-1,,,,,,,,,,,,SR-20 and SR-1 Fort Bragg
e22-115097,2023,01/02/2023,01/08/2023,TRAILER MOUNTED GUPPY,California,Hesperia,Victorville,* from 3 flags rd - 395s - to joshua st exit (joshua st) * from joshua st e/b on ramp - 15n - to rte 18  apple valley exit ('d' st w/b off ramp exit 153a) *,"3 flags rd Hesperia, California",3 flags rd and US-395,US-395 and joshua st  (joshua st) * from joshua st e/b on ramp,joshua st  (joshua st) * from joshua st e/b on ramp and I-15,I-15 and SR-18,,,,,,,,,,,,,,,,,,,,,I-15 and SR-18 Victorville
e23-000824,2023,01/05/2023,01/11/2023,CAT D8 DOZER,California,Rancho Bernardo,Lakeside,* from camino del norte e/b on ramp - 015s - 052e - 067n - to mapleview st exit (mapleview st/lake jennings park rd) *,"camino del norte e Rancho Bernardo, California",camino del norte e and I-15,I-15 and SR-52,SR-52 and SR-67,SR-67 and mapleview st  (mapleview st/lake jennings park rd),,,,,,,,,,,,,,,,,,,,,SR-67 and mapleview st Lakeside
e22-114817,2023,01/01/2023,01/07/2023,Liebherr L-18 Drill (9P8),California,Los Angeles,Lodi,* from paxton st s/b on ramp - 210w - 005n - to templin highway exit (templin highway e/b off ramp exit number 183) - detour via ramps - from templin highway w/b on ramp - 005n - 099n - to rte 12 west/fairfield/kettleman lane exit (kettleman lane e/b off ramp exit number 264b) *,"paxton st Los Angeles, California",paxton st and SR-210,SR-210 and I-5,I-5 and templin highway  (templin highway e/b off ramp  number 183),templin highway  (templin highway e/b off ramp  number 183) and detour via ramps,detour via ramps and templin highway w/b on ramp,templin highway w/b on ramp and I-5,I-5 and SR-99,SR-99 and SR-12,,,,,,,,,,,,,,,,,SR-99 and SR-12 Lodi
e23-001576,2023,01/09/2023,01/15/2023,"UNLADEN W/DUNNAGE, RIGGING & PILOT CAR",California,Lakeside,State Line,* from scripps poway pkwy / rio maria rd - 067s - 052w - 015n - 395n - 006e - to nv line *,"scripps poway pkwy Lakeside, California",scripps poway pkwy and SR-67,SR-67 and SR-52,SR-52 and I-15,I-15 and US-395,US-395 and US-6,US-6 and nv line,,,,,,,,,,,,,,,,,,,US-6 and nv line State Line
e23-001573,2023,01/09/2023,01/15/2023,"UNLADEN W/DUNNAGE, RIGGING & PILOT CAR",California,Lakeside,State Line,* from scripps poway pkwy / rio maria rd - 067s - 052w - 015n - 058w - 395n - 006e - to nv line *,"scripps poway pkwy Lakeside, California",scripps poway pkwy and SR-67,SR-67 and SR-52,SR-52 and I-15,I-15 and SR-58,SR-58 and US-395,US-395 and US-6,US-6 and nv line,,,,,,,,,,,,,,,,,,US-6 and nv line State Line
e22-115076,2023,01/02/2023,01/08/2023,113' CONCRETE PILE,California,Antioch,San Pedro,* from wilbur ave e/b on ramp - 160s - 4w - 242s - 680s - 580e - 5s - to templin highway exit (templin highway w/b off ramp exit 183) - detour via ramps-  from templin highway e/b on ramp - 5s - 405s - 110s - 47n - to navy way exit (navy way) *,"wilbur ave Antioch, California",wilbur ave and SR-160,SR-160 and SR-4,SR-4 and SR-242,SR-242 and I-680,I-680 and I-580,I-580 and I-5,I-5 and templin highway  (templin highway w/b off ramp  183),templin highway  (templin highway w/b off ramp  183) and detour via ramps,detour via ramps and templin highway e/b on ramp,templin highway e/b on ramp and I-5,I-5 and I-405,I-405 and SR-110,SR-110 and SR-47,SR-47 and navy way  (navy way),,,,,,,,,,,SR-47 and navy way San Pedro
e22-114880,2023,01/01/2023,01/07/2023,JAW CRUSHER,California,Mojave,Bakersfield,* from silver queen rd w/b on ramp - 14n - 58w - 99n - 58w - to gibson st exit (gibson st) *,"silver queen rd Mojave, California",silver queen rd and SR-14,SR-14 and SR-58,SR-58 and SR-99,SR-99 and SR-58,SR-58 and gibson st  (gibson st),,,,,,,,,,,,,,,,,,,,SR-58 and gibson st Bakersfield
e22-114918,2023,01/01/2023,01/07/2023,BUILDING FACADE,California,Az Line,Irvine,* from az line 8 - 008w - 111n - 078w - 086n - 010w - 060w - 215n - 091w - 055s - 073s - to jamboree rd exit (jamboree rd e/b off ramp exit number 15) *,"az line Az Line, California",az line and I-8,I-8 and SR-111,SR-111 and SR-78,SR-78 and SR-86,SR-86 and I-10,I-10 and SR-60,SR-60 and I-215,I-215 and SR-91,SR-91 and SR-55,SR-55 and SR-73,SR-73 and jamboree rd  (jamboree rd e/b off ramp  number 15),,,,,,,,,,,,,,SR-73 and jamboree rd Irvine
e22-114776,2023,01/01/2023,01/07/2023,CAT 730 DUMP TRUCK,California,Port Heneme,Nv State Line,* from vineyard ave e/b on ramp - 101s - 134e - 210e - 015n - to nv line 15 exit *,"vineyard ave Port Heneme, California",vineyard ave and US-101,US-101 and SR-134,SR-134 and SR-210,SR-210 and I-15,I-15 and nv line 15,,,,,,,,,,,,,,,,,,,,I-15 and nv line 15 Nv State Line
e23-000191,2023,01/04/2023,01/10/2023,EMPTY CRATE FOR SOLAR PANELS,California,San Jose,Watsonville,* from oakland rd e/b on ramp - 101s - 156w - 183n - 001n - to green valley rd exit (green valley rd e/b off ramp) *,"oakland rd San Jose, California",oakland rd and US-101,US-101 and SR-156,SR-156 and SR-183,SR-183 and SR-1,SR-1 and green valley rd  (green valley rd e/b off ramp),,,,,,,,,,,,,,,,,,,,SR-1 and green valley rd Watsonville
e22-114757,2023,01/01/2023,01/07/2023,JD FIELD CULTIVATOR 2230,California,Nv Line,1505 Bolsa Road Gilroy Ca,* from nv line 80 - 080w - 680s - 101s - 025s - to bolsa rd exit (bolsa rd) *,"nv line Nv Line, California",nv line and I-80,I-80 and I-680,I-680 and US-101,US-101 and SR-25,SR-25 and bolsa rd  (bolsa rd),,,,,,,,,,,,,,,,,,,,SR-25 and bolsa rd 1505 Bolsa Road Gilroy Ca
e22-114824,2023,01/01/2023,01/07/2023,PA550HW DC SYSTEM,California,Az Line 40,San Jose,* from az line 40 - 40w - 15s - 58w - 99n - 46w - 5n - 152w - 156w - 25n - 101n - 880n - to gish rd e/b off ramp exit 4d *,"az line Az Line 40, California",az line and I-40,I-40 and I-15,I-15 and SR-58,SR-58 and SR-99,SR-99 and SR-46,SR-46 and I-5,I-5 and SR-152,SR-152 and SR-156,SR-156 and SR-25,SR-25 and US-101,US-101 and I-880,I-880 and gish rd e/b off ramp  4d,,,,,,,,,,,,,I-880 and gish rd eb
e22-114816,2023,01/01/2023,01/07/2023,CYLINDER STRUCTURE,California,Pomona,Rancho Cucamonga,* from dudley st n/b on ramp - 10e - to haven ave n/b off ramp exit *,"dudley st Pomona, California",dudley st and I-10,I-10 and haven ave n/b off ramp,,,,,,,,,,,,,,,,,,,,,,,I-10 and haven ave nb
e23-048753,2023,06/09/2023,06/15/2023,TRACK CRUSHER W/ATTACHMENTS,California,Otay Mesa,Perris,* from enrico fermi dr n/b on ramp - 11w - 905w - 805n - 5n - 76e - 15n - 215n - 74e - to watson rd *,"enrico fermi dr Otay Mesa, California",enrico fermi dr and SR-11,SR-11 and SR-905,SR-905 and I-805,I-805 and I-5,I-5 and SR-76,SR-76 and I-15,I-15 and I-215,I-215 and SR-74,SR-74 and watson rd,,,,,,,,,,,,,,,,SR-74 and watson rd Perris
e22-115030,2023,01/01/2023,01/07/2023,Belt Press,California,Byron,Porterville,* from mountain house pkwy s/b on ramp - 205e - 5n - 120e - 99s - 137e - 65s - to henderson ave w/b off ramp exit # 45 *,"mountain house pkwy Byron, California",mountain house pkwy and I-205,I-205 and I-5,I-5 and SR-120,SR-120 and SR-99,SR-99 and SR-137,SR-137 and SR-65,SR-65 and henderson ave w/b off ramp  # 45,,,,,,,,,,,,,,,,,,SR-65 and henderson ave wb
e22-115025,2023,01/01/2023,01/07/2023,Cat 836 Compactor,California,Pittsburg,Livermore,* from bailey rd n/b on ramp - 4e - to vasco rd exit *,"bailey rd Pittsburg, California",bailey rd and SR-4,SR-4 and vasco rd,,,,,,,,,,,,,,,,,,,,,,,SR-4 and vasco rd Livermore
e22-115038,2023,01/01/2023,01/07/2023,DRILL RIG - UNIT 211,California,Bakersfield,Bakersfield,* from rosedale hwy/sidding rd - 43s - 5s - 166w - to old river rd exit *,"rosedale hwy Bakersfield, California",rosedale hwy and SR-43,SR-43 and I-5,I-5 and SR-166,SR-166 and old river rd,,,,,,,,,,,,,,,,,,,,,SR-166 and old river rd Bakersfield
e22-115037,2023,01/01/2023,01/07/2023,HPU - UNIT 212,California,Bakersfield,Bakersfield,* from rosedale hwy/sidding rd - 43s - 5s - 166w - to old river rd exit *,"rosedale hwy Bakersfield, California",rosedale hwy and SR-43,SR-43 and I-5,I-5 and SR-166,SR-166 and old river rd,,,,,,,,,,,,,,,,,,,,,SR-166 and old river rd Bakersfield
e22-115036,2023,01/01/2023,01/07/2023,PIPE TUB 1 - UNIT 213,California,Bakersfield,Bakersfield,* from rosedale hwy/sidding rd - 43s - 5s - 166w - to old river rd exit *,"rosedale hwy Bakersfield, California",rosedale hwy and SR-43,SR-43 and I-5,I-5 and SR-166,SR-166 and old river rd,,,,,,,,,,,,,,,,,,,,,SR-166 and old river rd Bakersfield
e22-115035,2023,01/01/2023,01/07/2023,PIPE TUB 2 - UNIT 214,California,Bakersfield,Bakersfield,* from rosedale hwy/sidding rd - 43s - 5s - 166w - to old river rd exit *,"rosedale hwy Bakersfield, California",rosedale hwy and SR-43,SR-43 and I-5,I-5 and SR-166,SR-166 and old river rd,,,,,,,,,,,,,,,,,,,,,SR-166 and old river rd Bakersfield
e22-115043,2023,01/01/2023,01/07/2023,SHAKER TANK / MUD PIT 1 - UNIT 215,California,Bakersfield,Bakersfield,* from rosedale hwy/sidding rd - 43s - 5s - 166w - to old river rd exit *,"rosedale hwy Bakersfield, California",rosedale hwy and SR-43,SR-43 and I-5,I-5 and SR-166,SR-166 and old river rd,,,,,,,,,,,,,,,,,,,,,SR-166 and old river rd Bakersfield
e22-115042,2023,01/01/2023,01/07/2023,SUCTION TANK / MUD PIT 2 - UNIT 216,California,Bakersfield,Bakersfield,* from rosedale hwy/sidding rd - 43s - 5s - 166w - to old river rd exit *,"rosedale hwy Bakersfield, California",rosedale hwy and SR-43,SR-43 and I-5,I-5 and SR-166,SR-166 and old river rd,,,,,,,,,,,,,,,,,,,,,SR-166 and old river rd Bakersfield
e22-115041,2023,01/01/2023,01/07/2023,RESERVE TANK / MUD PIT 3 - UNIT 217,California,Bakersfield,Bakersfield,* from rosedale hwy/sidding rd - 43s - 5s - 166w - to old river rd exit (old river rd) *,"rosedale hwy Bakersfield, California",rosedale hwy and SR-43,SR-43 and I-5,I-5 and SR-166,SR-166 and old river rd  (old river rd),,,,,,,,,,,,,,,,,,,,,SR-166 and old river rd Bakersfield
e22-115050,2023,01/01/2023,01/07/2023,MUP PUMP 1 - UNIT 219,California,Bakersfield,Bakersfield,* from rosedale hwy/sidding rd - 43s - 5s - 166w - to old river rd exit *,"rosedale hwy Bakersfield, California",rosedale hwy and SR-43,SR-43 and I-5,I-5 and SR-166,SR-166 and old river rd,,,,,,,,,,,,,,,,,,,,,SR-166 and old river rd Bakersfield
e22-115049,2023,01/01/2023,01/07/2023,MUP PUMP 2 - UNIT 220,California,Bakersfield,Bakersfield,* from rosedale hwy/sidding rd - 43s - 5s - 166w - to old river rd exit (old river rd) *,"rosedale hwy Bakersfield, California",rosedale hwy and SR-43,SR-43 and I-5,I-5 and SR-166,SR-166 and old river rd  (old river rd),,,,,,,,,,,,,,,,,,,,,SR-166 and old river rd Bakersfield
e22-115048,2023,01/01/2023,01/07/2023,GENERATOR 1 - UNIT 221,California,Bakersfield,Bakersfield,* from rosedale hwy/sidding rd - 43s - 5s - 166w - to old river rd exit *,"rosedale hwy Bakersfield, California",rosedale hwy and SR-43,SR-43 and I-5,I-5 and SR-166,SR-166 and old river rd,,,,,,,,,,,,,,,,,,,,,SR-166 and old river rd Bakersfield
e22-115047,2023,01/01/2023,01/07/2023,GENERATOR 2 - UNIT 222,California,Bakersfield,Bakersfield,* from rosedale hwy/sidding rd - 43s - 5s - 166w - to old river rd exit *,"rosedale hwy Bakersfield, California",rosedale hwy and SR-43,SR-43 and I-5,I-5 and SR-166,SR-166 and old river rd,,,,,,,,,,,,,,,,,,,,,SR-166 and old river rd Bakersfield
