ID,CO,RTE,REGION ZONE,Prefix,BPM,Prefix,EPM,Zone,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",RA LOS Score,Average LOS score
163,LA,101,InVal-5,,4,,5,,FY23/Q3,1,,,,,1,,,,,100,,X,,,X,,X,,,,50,75
164,LA,101,InVal-5,,5,,6,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
165,LA,101,InVal-5,,6,,7,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
166,LA,101,InVal-5,,7,,8,,FY23/Q3,1,,,,,,1,,,,75,,X,,,,X,,,,,75,75
167,LA,101,InVal-5,,8,,9,,FY23/Q3,1,,,,,,1,,,,75,X,,,,,,X,,,,75,75
168,LA,101,InVal-5,,9,,10,,FY23/Q3,1,,,,,,1,,,1,75,,X,,,,,X,,,X,50,63
169,LA,101,InVal-5,,10,,11,,FY23/Q3,,1,,,,,,1,,,25,,X,,,,,X,,,,50,38
170,LA,101,InVal-5,,11,,12,,FY23/Q3,1,,,,,,1,,,,75,,X,,,,,,X,,X,25,50
171,LA,101,InVal-5,,12,,13,,FY23/Q3,1,,,,,,1,,,,75,X,,,,,X,,,,,100,88
172,LA,101,InVal-5,,13,,14,,FY23/Q3,1,,,,,,1,,,,75,X,,,,,,X,,,,75,75
173,LA,101,InVal-5,,14,,15,,FY23/Q3,,1,,,,1,,,,,75,,X,,,,X,,,,,75,75
174,LA,101,InVal-5,,15,,16,,FY23/Q3,,1,,,,1,,,,,75,X,,,,,X,,,,,100,88
175,LA,101,InVal-5,,16,,17,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
179,LA,101,InVal-5,,21,,22,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
180,LA,101,InVal-5,,22,,23,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
181,LA,101,InVal-5,,23,,24,,FY23/Q3,,1,,,,,1,,,,50,,X,,,,,X,,,,50,50
186,LA,101,InVal-5,,28,,29,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
187,LA,101,InVal-5,,29,,30,,FY23/Q3,1,,,,,1,,,,,100,,X,,,,X,,,,,75,88
189,LA,101,InVal-5,,30,,31,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
190,LA,101,InVal-5,,31,,32,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
193,LA,101,InVal-5,,34,,35,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
194,LA,101,InVal-5,,35,,36,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
195,LA,101,InVal-5,,36,,37,,FY23/Q3,1,,,,,,1,,,,75,X,,,,,X,,,,,100,88
196,LA,101,InVal-5,,37,,38,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,LA,105,SoCst-5,R,6,R,7,,FY23/Q3,1,,,,,,1,,,,75,,X,,,X,,X,,,X,50,63
