ID,DIST,CO,RTE,Prefix,BPM,Prefix,EPM,Zone,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",RA LOS Score,Average LOS score
188,4,SCL,101,R,36,,37,NoCst-5,FY23/Q3,,,x,,,,x,,,,25,,,X,,,,X,,,,25,25
189,4,SCL,101,,37,,38,NoCst-5,FY23/Q3,,,x,,,,x,,,,25,,,X,,,,,X,,,0,13
190,4,SCL,101,,38,,39,NoCst-5,FY23/Q3,,x,,,,,,x,,,25,,,X,,,,,X,,,0,13
191,4,SCL,101,,39,,40,NoCst-5,FY23/Q3,,x,,,,,,x,,,25,,,X,,,,X,,,X,25,25
193,4,SCL,101,,43,,44,NoCst-5,FY23/Q3,,x,,,,,x,,,,50,,,X,,,,X,,,,25,38
194,4,SCL,101,,44,,45,NoCst-5,FY23/Q3,,,x,,x,,x,,,,25,,,X,,,,X,,,,25,25
195,4,SCL,101,,45,,46,NoCst-5,FY23/Q3,,x,,,,x,,,,,75,,,X,,,,,X,,,0,38
196,4,SCL,101,,46,,47,NoCst-5,FY23/Q3,,x,,,,,x,,,,50,,X,,,,,,X,,,25,38
197,4,SCL,101,,47,,48,NoCst-5,FY23/Q3,,x,,,,,,x,,,25,,,X,,,,,X,,,0,13
198,4,SCL,101,,48,,49,NoCst-5,FY23/Q3,,x,,,,x,,,,,75,,,X,,,,,X,,,0,38
199,4,SCL,101,,49,,50,NoCst-5,FY23/Q3,,x,,,,,x,,,,50,X,,,,,,X,,,,75,63
200,4,SCL,101,,50,,51,NoCst-5,FY23/Q3,x,,,,,,x,,,,75,X,,,,,,X,,,,75,75
201,4,SCL,101,,51,,52,NoCst-5,FY23/Q3,,x,,,,,x,,,,50,X,,,,,,X,,,,75,63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,4,SCL,237,R,1,,2,NoCst-5,FY23/Q3,,x,,,,,x,,,,50,,X,,,,,X,,,,50,50
