ID,DIST,CO,RTE,PFX,BEGPM,PFX.1,ENDPM,Length,HG,MAINT_DIST,DIST_RGN,BUDGET ZONE,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",Average LOS score
167.0,6.0,KIN,198.0,R,9.0,R,10.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100.0
168.0,6.0,KIN,198.0,R,10.0,R,11.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100.0
169.0,6.0,KIN,198.0,R,11.0,R,12.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100.0
170.0,6.0,KIN,198.0,R,12.0,R,13.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100.0
171.0,6.0,KIN,198.0,R,17.0,R,18.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,X,,,,,,X,,,X,75.0
172.0,6.0,KIN,198.0,R,18.0,R,19.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100.0
173.0,6.0,KIN,198.0,R,19.0,R,20.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100.0
174.0,6.0,KIN,198.0,R,20.0,R,21.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,X,,,,,,X,,,,75.0
175.0,6.0,KIN,198.0,R,21.0,R,22.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100.0
176.0,6.0,MAD,99.0, ,0.0,,1.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,x,,,,,x,,,,,100.0
177.0,6.0,MAD,99.0,,1.0,,2.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,x,,,,,x,,,,,100.0
178.0,6.0,MAD,99.0,,2.0,,3.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,x,,,,,x,,,,,100.0
179.0,6.0,MAD,99.0,,3.0,,4.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,x,,,,,x,,,,,100.0
180.0,6.0,MAD,99.0,,4.0,,5.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,x,,,,,x,,,,,100.0
181.0,6.0,MAD,99.0,,5.0,,6.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,x,,,,,x,,,,,100.0
182.0,6.0,MAD,99.0,,6.0,,7.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,,x,,,,x,,,,,75.0
184.0,6.0,MAD,99.0,,8.0,,9.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,x,,,,,x,,,,,100.0
185.0,6.0,MAD,99.0,,9.0,,10.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,x,,,,,,x,,,,75.0
186.0,6.0,MAD,99.0,,10.0,,11.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,x,,,,,,x,,,,75.0
187.0,6.0,MAD,99.0,,11.0,,12.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,x,,,,,x,,,,,100.0
188.0,6.0,MAD,99.0,,12.0,,13.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,,x,,,x,x,,,,,75.0
189.0,6.0,MAD,99.0,,13.0,,14.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,x,,,,,x,,,,,100.0
190.0,6.0,MAD,99.0,,14.0,,15.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,x,,,,,x,,,,,100.0
191.0,6.0,MAD,99.0,,15.0,,16.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,x,,,,,x,,,,,100.0
192.0,6.0,MAD,99.0,,16.0,,17.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,x,,,,,,x,,,,75.0
193.0,6.0,MAD,99.0,R,18.0,R,19.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,x,,,,,x,,,,,100.0
194.0,6.0,MAD,99.0,R,19.0,R,20.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,,x,,,,,x,,,,50.0
195.0,6.0,MAD,99.0,R,20.0,,21.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,x,,,,,x,,,,,100.0
